dmu,women_in_parliament,basic_sanitation,basic_water_source,electricity,employment_rate,material_footprint,forest_area,mean_years_in_school,air_pollution,health_worker,red_list,life_expectancy,income,income_share_20,CO2,murder
Greece_2012,21,98.8,100,100,39.8,27.9,30.3,10.3,5.921299934387207,18.42076873779297,0.84,80.6,28.3,5.8,8.49,1.3
Hungary_2012,9.23,98,100,100,45.9,12.5,22.7,12.2,3.1061999797821045,17.52996063232422,0.86,75.4,24.8,7.6,4.75,1.17
Ireland_2012,18.1,90.8,97.3,100,52.5,20.4,10.7,11.3,3.942300081253052,9.52269172668457,0.92,81,53,7.5,8.29,0.83
Iceland_2012,40.5,98.8,100,100,69.9,33.4,0.46,11.5,3.5074000358581543,7.3369293212890625,0.88,82.9,48.4,9.3,10.7,0.332
Israel_2012,21.4,100,100,100,59.2,23.6,7.32,12.8,6.592700004577637,23.038848876953125,0.72,82.3,35.4,4.7,9.83,1.8
Italy_2012,27,99.9,99.9,100,43.7,20.6,31.1,9.9,7.7027997970581055,18.105247497558594,0.9,82.4,41.5,6.3,6.56,0.698
South Korea_2012,15.7,100,99.2,100,59.3,26.6,65.4,11.9,2.0797998905181885,27.915952682495117,0.72,81.5,36,7.3,11.7,0.983
Lithuania_2012,24.5,90.6,95.2,100,50.4,30.4,34.7,11.7,4.138400077819824,13.78452491760254,0.99,74,27.3,6.5,4.65,3.93
Luxembourg_2012,27.5,97.6,100,100,55,103,36.5,11.8,2.8046998977661133,11.775575637817385,0.98,81.5,112,7.3,20.5,0.188
Latvia_2012,21.7,90.6,98.4,100,50.8,18.5,54.4,12.6,3.0913000106811523,15.598559379577637,0.99,74.2,24,6.5,3.64,4.98
Moldova_2012,18.3,75.5,87.4,100,38.5,0.6,11.5,11.4,2.4135000705718994,18.409284591674805,0.94,72,9,9,1.17,4.98
North Macedonia_2012,31.4,93.4,97.3,100,38,12.9,38.6,9.3,2.774399995803833,34.657814025878906,0.97,73.7,13.7,4.9,4.25,1.5
Malta_2012,13.2,100,100,100,48.8,25.4,1.09,10.8,2.356600046157837,15.397160530090332,0.87,81.4,33.9,8.4,6.58,1.52
Mauritius_2012,15.2,95.1,99.8,99.6,53.4,19.2,18.9,8.6,1.3738000392913818,15.245856285095217,0.46,74.7,18,7,3.17,2.35
Netherlands_2012,38.7,97.8,100,100,60.8,26.3,11,12,3.246299982070923,13.812414169311523,0.95,81.2,51.9,9.1,9.89,0.83
Norway_2012,39.6,98.1,100,100,63.3,36.3,33.2,12.6,4.236000061035156,7.925281047821045,0.95,81.6,62,9.4,8.99,0.566
Poland_2012,22.7,96.7,98.7,100,50.7,22.5,30.6,11.7,2.2242000102996826,24.26397705078125,0.96,76.9,25.5,7.2,8.52,0.788
Portugal_2012,28.6,99.1,99.8,100,50.7,17.9,35.8,8.5,4.236100196838379,9.484803199768066,0.87,80.8,30.2,6.4,4.75,0.97
Romania_2012,11.6,80.7,100,100,50.9,14.1,29,10.9,2.58870005607605,16.315845489501953,0.86,74.7,21.3,5.3,4.28,1.71
Serbia_2012,32.4,96.9,92.2,100,38.9,16.5,31,10.5,2.4960999488830566,28.58474922180176,0.95,74.8,14.9,4.7,4.89,1.48
Slovenia_2012,7.5,98,99.5,100,52.6,22.6,61.9,11.7,2.540600061416626,17.67007827758789,0.93,80.2,32.6,9.4,7.69,0.608
Sweden_2012,44.3,99.2,99.7,100,58.4,31.3,68.8,12.4,3.957900047302246,6.627942085266113,0.99,82.1,48.3,8.5,4.86,0.657
Turkey_2012,14.4,94.6,95.8,100,44.8,15.5,27.7,7.5,1.7383999824523926,41.92091751098633,0.88,77,22.6,5.8,4.74,1.23
Armenia_2013,11.8,92.1,99.1,99.4,48.8,6.96,11.6,11.4,2.90310001373291,34.93721389770508,0.83,75.1,10.7,8.6,1.91,1.1
Austria_2013,30.5,100,100,100,57.2,31.3,46.9,11.9,4.974400043487549,14.081613540649414,0.89,81.3,53,8.1,7.97,0.401
Belgium_2013,41.9,99.5,100,100,49,22.9,22.8,11.4,2.9584999084472656,14.022669792175291,0.98,80.7,48.2,8.6,9.11,0.94
Bulgaria_2013,23.8,86,99.3,100,46.9,11,35,10.9,3.963000059127808,20.99963760375977,0.94,73.3,18.9,5.7,5.84,1.02
Switzerland_2013,27.3,99.9,100,100,64.4,31.2,31.5,13.4,4.030300140380859,11.82005500793457,0.97,83.3,66.9,7.9,5.33,0.521
Cyprus_2013,14.7,99.5,99.8,100,52.7,33.9,18.7,12,2.407599925994873,18.684545516967773,0.99,80.3,33.4,7.7,5.72,1.19
Germany_2013,33.9,99.2,100,100,57.1,21.9,32.7,14,4.008699893951416,13.191919326782228,0.98,80.8,50,8.1,10.3,0.46
Denmark_2013,38.3,99.6,100,100,56.8,24.1,15.2,13.2,3.8334999084472656,10.820279121398926,0.98,80.5,51.5,9.1,7.41,0.381
Spain_2013,37.3,99.9,100,100,43.6,22.8,37.1,9.5,3.78570008277893,10.742582321166992,0.85,82.7,35.4,5.7,5.37,0.588
Estonia_2013,21.8,99.2,99.7,100,56,28,54.9,12.6,3.3317999839782715,7.482813358306885,0.99,77.2,29.5,6.8,14.9,3.61
Finland_2013,42,99.4,100,100,54.2,35.5,73.5,12.3,3.296600103378296,6.278689384460449,0.99,81.2,45.3,9.3,9.52,1.4
France_2013,26.2,98.7,100,100,50.4,20.7,30.4,11.2,6.389699935913086,13.594308853149414,0.87,82.3,42.8,8,5.75,0.607
United Kingdom_2013,22.6,99.1,100,100,57.5,22.3,12.9,12.6,5.354599952697754,11.618901252746582,0.96,81,43.3,7.4,7.36,0.219
Georgia_2013,10.6,87,95.5,100,54.6,8.08,40.6,12.6,4.514500141143799,23.91020393371582,0.89,72.9,11.7,6.1,1.98,0.873
Greece_2013,21.7,98.9,100,100,38,26.2,30.3,10.4,5.934199810028076,17.779417037963867,0.84,80.9,27.8,5.9,7.62,1.19
Hungary_2013,9.36,98,100,100,46.8,13.1,22.7,12,3.2283999919891357,17.231830596923828,0.86,75.9,25.3,7.5,4.46,0.953
Ireland_2013,19.2,90.9,97.3,100,53.8,20.6,10.8,11.8,3.9347000122070313,9.3601531982421875,0.92,81.2,53.4,7.3,8.06,0.544
Iceland_2013,39.7,98.8,100,100,71.1,33.6,0.466,11.9,3.569700002670288,7.171206951141357,0.87,83.2,50.2,9.9,10.7,0.373
Israel_2013,22.1,100,100,100,59.8,23.9,7.42,12.8,6.553899765014648,22.94633102416992,0.72,82.5,36.4,5,8.41,1.71
Italy_2013,27.8,99.9,99.9,100,42.7,20.3,31.2,10.3,7.808899879455566,17.757722854614258,0.9,82.6,40.3,6.2,6.06,0.606
Kazakhstan_2013,18.8,97.6,94.6,100,66.9,18.3,1.19,11.6,3.9507999420166016,14.59856414794922,0.87,69.4,23.7,9.8,14.1,6.22
Lithuania_2013,23.6,91.2,95.7,100,51.4,32.3,34.8,11.9,4.20419979095459,12.981191635131836,0.99,74,28.6,6.7,4.36,4.2
Luxembourg_2013,28.3,97.6,100,100,54.9,106,36.5,11.8,2.83270001411438,11.60538387298584,0.98,81.7,113,7.6,19,0.152
Latvia_2013,20.3,90.8,98.4,100,52.3,19,54.4,12.7,3.1407999992370605,14.884307861328123,0.99,74.2,24.7,6.5,3.61,4.95
Moldova_2013,18.1,75.5,87.8,100,39.4,3.17,11.6,11.6,2.5027999877929688,17.43239974975586,0.94,72.7,9.82,9.1,1.2,5.55
North Macedonia_2013,32,94,97.4,100,39.6,13.1,38.9,9.4,2.795599937438965,32.01504898071289,0.97,74,14.1,5.6,3.79,0.726
Malta_2013,14.3,100,100,100,50.2,26.6,1.09,11,2.4595000743865967,15.281944274902344,0.87,81.6,35.3,8.6,5.73,1.15
Netherlands_2013,37.9,97.8,100,100,59.8,26.2,10.9,12.1,3.305799961090088,13.043145179748535,0.95,81.4,51.6,8.9,9.85,0.771
Norway_2013,39.6,98.1,100,100,62.8,37.1,33.2,12.7,4.306300163269043,7.633674621582031,0.95,81.8,61.9,9.3,8.86,0.927
Poland_2013,23.4,97.3,98.8,100,50.6,22.3,30.6,12.1,2.2339999675750732,22.92872428894043,0.96,77.2,25.8,7.2,8.43,0.903
Portugal_2013,30.6,99.2,99.9,100,49.6,18.3,35.9,8.6,4.393199920654297,9.43204402923584,0.87,81.1,30,6.2,4.6,0.835
Romania_2013,11.7,81.4,100,100,50.6,15.4,29.3,10.9,2.624000072479248,15.369309425354004,0.86,75.3,22.2,5,3.84,1.42
Serbia_2013,33.2,97.1,92.6,99.9,40.5,18.7,31.1,10.4,2.494499921798706,27.4307861328125,0.95,74.9,15.4,4.7,5,1.86
Slovenia_2013,26.9,98,99.5,100,51.7,22.3,61.9,11.7,2.625200033187866,17.571378707885742,0.93,80.5,32.2,9.2,7.36,0.806
Sweden_2013,43.9,99.2,99.7,100,58.7,31.4,68.8,12.2,4.035900115966797,6.431169033050537,0.99,82.3,48.5,8.1,4.66,0.81
Turkey_2013,14.6,95.2,95.9,100,45.3,15.7,27.8,7.7,1.7618999481201172,42.06258392333984,0.88,77,24.1,5.8,4.55,1.67
Armenia_2014,12.9,92.5,99.4,99.7,47.5,7.16,11.6,11.5,2.8928000926971436,33.0859489440918,0.83,75.2,11,8.4,1.91,0.964
Australia_2014,31.2,100,100,100,60.9,42.1,17.2,12.7,3.4314000606536865,9.492979049682615,0.84,82.7,47.2,7.4,16.7,1.02
Austria_2014,29,100,100,100,56.8,31.9,47,12.1,5.035900115966797,13.379227638244627,0.89,81.5,52.9,8,7.49,0.402
Belgium_2014,43,99.5,100,100,49,23.1,22.8,11.5,2.9723000526428223,13.23362159729004,0.98,81,48.7,8.6,8.55,0.987
Bulgaria_2014,20,86,99.2,100,48,11.5,35.1,10.9,3.974999904632568,20.74357032775879,0.94,73,19.2,6,6.23,1.08
Cyprus_2014,15.6,99.5,99.8,100,53.1,34.3,18.7,11.9,2.499300003051758,18.293527603149418,0.99,80.4,33.1,7.6,6.01,0.953
Germany_2014,33.5,99.2,100,100,57.2,22.2,32.7,14,4.08459997177124,12.751220703125,0.98,81,50.8,8.1,9.74,0.419
Denmark_2014,37.9,99.6,100,100,56.9,24.2,15.4,12.8,3.8631999492645264,11.066704750061035,0.97,80.8,52,9.1,6.63,0.636
Spain_2014,38.5,99.9,99.9,100,44.3,22.8,37.1,9.7,3.776700019836426,10.074588775634766,0.85,82.8,36,5.7,5.45,0.563
Estonia_2014,22.8,99.1,99.8,100,56.6,28.6,55.3,12.6,3.3564000129699707,7.705552577972412,0.99,77.3,30.5,7,14.4,2.7
Finland_2014,41.8,99.4,100,100,53.8,35.1,73.6,12.4,3.392199993133545,6.468639850616455,0.99,81.4,45,9.4,8.73,1.4
France_2014,25,98.7,100,100,49.9,20.9,30.6,11.4,6.422999858856201,12.289703369140623,0.86,82.6,43,8,5.23,0.44
United Kingdom_2014,23.4,99.1,100,100,58.5,22.5,13,12.7,5.42579984664917,10.800559997558594,0.96,81.1,44.2,7.3,6.71,0.19
Georgia_2014,9.83,86.8,95.6,100,56.6,8.21,40.6,12.6,4.775400161743164,22.966707229614254,0.89,73.2,12.3,6.4,2.18,1.92
Greece_2014,22.3,98.9,100,100,38.3,26.2,30.3,10.5,5.971700191497803,17.365041732788086,0.84,81,28.1,5.9,7.36,0.862
Hungary_2014,9.55,98,100,100,49.5,14.1,22.6,11.8,3.3443000316619873,16.31532859802246,0.86,76,26.5,7.6,4.48,0.672
Iceland_2014,42.1,98.8,100,100,72.5,33.8,0.473,12.2,3.6305999755859375,6.948896408081055,0.87,83.7,50.5,9.4,10.5,0.345
Israel_2014,24.1,100,100,100,60.4,23.8,7.52,12.9,6.5854997634887695,22.059146881103516,0.72,82,37.2,5,7.88,1.65
Italy_2014,28.5,99.9,99.9,100,42.6,20.5,31.4,10.1,7.809700012207031,17.769269943237305,0.9,82.8,39.9,6.2,5.77,0.558
Kazakhstan_2014,6.38,97.7,94.8,100,67.3,17.8,1.21,11.7,3.9800000190734863,13.749753952026367,0.87,70.1,24.4,9.9,14.8,5.82
South Korea_2014,16.3,100,99.4,100,60.2,27,65.1,12.1,2.2070000171661377,27.213109970092773,0.72,82.3,38,7.5,11.6,0.886
Lithuania_2014,23,91.7,96.1,100,52.8,33.7,34.9,13,4.250699996948242,12.84519386291504,0.99,74.6,29.9,6,4.34,3.45
Luxembourg_2014,26.7,97.6,99.9,100,55.6,105,36.5,12,2.8891000747680664,10.857613563537598,0.98,82,113,7.9,17.7,0.59
Latvia_2014,19,91.1,98.5,100,52.8,20.9,54.5,12.9,3.1723999977111816,14.879085540771484,0.99,74.7,25.4,6.6,3.56,5.66
Moldova_2014,17.8,75.5,88.2,100,39.7,3.43,11.7,11.6,2.474600076675415,16.72646141052246,0.94,72.3,10.3,9.7,1.16,4.19
Malta_2014,13.7,100,100,100,51.3,26.5,1.09,11.1,2.6591999530792236,14.43540382385254,0.87,81.8,37.2,8.6,5.64,0.726
Netherlands_2014,36.7,97.7,100,100,59.3,26.5,10.9,12.1,3.4193999767303467,12.828797340393066,0.95,81.6,52.2,8.8,9.41,0.709
Norway_2014,40.1,98.1,100,100,62.5,37.2,33.2,12.5,4.424900054931641,7.670896053314209,0.95,82.2,62.4,9.1,8.74,0.587
Poland_2014,24.1,98,99,100,51.7,22.7,30.7,11.3,2.302000045776367,22.210891723632813,0.97,77.6,26.6,7.2,8.11,0.718
Portugal_2014,32.7,99.3,99.9,100,50.6,18.3,36,8.9,4.556700229644775,8.78479290008545,0.87,81.3,30.4,6.5,4.61,0.838
Serbia_2014,34,97.3,93,99.7,42.3,18.3,31.1,10.7,2.4611001014709473,26.49207305908203,0.95,75,15.2,4.3,4.18,1.35
Slovenia_2014,35.6,98,99.5,100,52.1,22.9,62,11.9,2.7627999782562256,16.632699966430664,0.93,81.3,33.1,9.4,6.55,0.912
Sweden_2014,43.5,99.2,99.8,100,58.9,31.6,68.7,12.3,4.110499858856201,6.959197521209717,0.99,82.5,49.3,8.4,4.46,0.823
Turkey_2014,14.7,95.8,96.1,100,45.2,15.5,28,7.6,1.75600004196167,42.59577178955078,0.88,77.1,24.9,5.8,4.69,1.51
Armenia_2015,14.2,92.9,99.6,100,46.5,7.37,11.6,11.6,2.914299964904785,34.881431579589844,0.83,75.1,11.3,8.2,1.65,1.12
Austria_2015,29,100,100,100,56.7,32.4,47,12.1,5.103499889373779,13.541094779968262,0.89,81.6,52.9,7.9,7.7,0.508
Belgium_2015,43.1,99.5,100,100,48.9,23.4,22.8,11.7,3.0137999057769775,13.566522598266602,0.98,81.1,49.5,8.6,8.84,0.978
Cyprus_2015,16.2,99.5,99.8,100,53.3,34.7,18.7,11.9,2.6236000061035156,19.101346969604492,0.99,80.5,34.5,7.8,5.99,1.42
Germany_2015,33,99.2,100,100,57.3,22.6,32.7,14.1,4.134200096130371,12.82609748840332,0.98,80.9,51.2,7.9,9.74,0.506
Denmark_2015,37.4,99.6,100,100,57.3,24.3,15.6,12.5,3.9256999492645264,10.657285690307615,0.97,81,52.9,9.4,6.19,0.572
Egypt_2015,14.9,95.8,99.1,99.3,41.7,4.88,0.0486,7.1,0.8216999769210815,88.21338653564453,0.92,69.9,10.6,9.1,2.37,0.166
Spain_2015,39.7,99.9,99.9,100,45.6,23.3,37.1,9.7,3.82669997215271,10.449102401733398,0.85,82.8,37.4,5.8,5.81,0.557
Estonia_2015,23.8,99.1,99.8,100,58.4,28,55.7,12.7,3.4151999950408936,7.003727436065674,0.99,77.8,31,7.5,12.1,2.74
United Kingdom_2015,26.8,99.1,100,100,59.1,22.7,13,12.8,5.486400127410889,10.754873275756836,0.96,81,45,7.4,6.42,0.192
Georgia_2015,9.4,86.6,95.8,100,57.8,8.47,40.6,12.7,5.005499839782715,24.25264549255371,0.89,73.3,12.6,6.7,2.38,1.7
Greece_2015,23,99,100,100,39.2,26.2,30.3,10.6,5.991399765014648,17.740556716918945,0.84,80.9,28.3,5.8,7.04,0.752
Hungary_2015,10.3,98,100,100,51.1,14.3,22.6,11.8,3.117799997329712,17.23213005065918,0.86,75.9,27.5,7.8,4.78,1.02
Iceland_2015,43.5,98.8,100,100,74,34.1,0.48,12.2,3.782599925994873,6.927968978881836,0.87,83.7,52.1,9.5,10.7,0.744
Israel_2015,24.8,100,100,100,60.8,23.8,7.62,13,6.68720006942749,22.779783248901367,0.72,82.7,37.3,5,8.15,1.7
Italy_2015,29.5,99.9,99.9,100,43,20.9,31.6,10.2,7.695899963378906,17.89144515991211,0.9,82.7,40.2,5.9,5.88,0.564
Lithuania_2015,22.6,92.3,96.6,100,53.9,34.9,34.9,13,4.299300193786621,12.455035209655762,0.99,74.7,30.7,6.1,4.48,3.66
Luxembourg_2015,25,97.6,99.9,100,55.4,105,36.5,12,2.922199964523315,11.006654739379885,0.98,82.3,113,7.4,16.5,0.711
Latvia_2015,22,91.5,98.5,100,54.1,21.7,54.6,12.8,3.165600061416626,13.968201637268066,0.99,75.1,26.6,7.1,3.65,4.26
Moldova_2015,19.4,76,88.6,100,42.5,3.54,11.8,11.6,2.483599901199341,17.079139709472656,0.94,72.1,10.4,9.7,1.18,4.02
Malta_2015,13.1,100,100,100,51.6,26.7,1.09,11.2,2.859800100326538,14.72246265411377,0.87,82.2,39.8,8.5,3.96,0.606
Netherlands_2015,34.7,97.7,100,100,59.7,26.8,10.8,12.1,3.4916999340057373,12.93210506439209,0.95,81.7,53,8.9,9.83,0.603
Norway_2015,40.5,98.1,100,100,62.1,37.6,33.2,12.5,4.394000053405762,7.242775440216064,0.95,82.4,63,9,8.72,0.389
Poland_2015,24.8,98.7,99.2,100,52.4,23.2,30.8,12.1,2.325200080871582,22.69131851196289,0.97,77.6,27.8,7.4,8.22,0.588
Serbia_2015,34,97.4,93.4,99.9,42.9,19.7,31.1,11,2.4602999687194824,26.95437812805176,0.95,75.1,15.6,4.4,4.93,1.17
Slovenia_2015,31.1,98.1,99.5,100,52.3,23.2,62,12,2.8148000240325928,17.12815284729004,0.93,81,33.8,9.6,6.58,0.56
Sweden_2015,44.2,99.3,99.8,100,59.2,31.8,68.7,12.4,4.188399791717529,6.322498321533203,0.99,82.5,50.9,8.2,4.41,1.08
Thailand_2015,10,97.1,99.3,99.6,68.6,14.4,39.3,7.6,0.4650999903678894,27.344566345214844,0.79,78.2,16.3,7.5,4.1,3.15
Turkey_2015,14.9,96.4,96.3,100,45.8,15.6,28.1,7.8,1.798799991607666,45.401554107666016,0.88,77.4,26,5.6,4.86,1.35
Austria_2016,29.5,100,100,100,56.9,32.3,47.1,12.1,5.1234002113342285,12.596816062927246,0.89,81.8,53.3,7.7,7.7,0.417
Cyprus_2016,16.7,99.4,99.8,100,54,27.1,18.7,12.1,1.950899958610535,16.95802116394043,0.99,80.7,36.5,8.2,6.29,1.23
Hungary_2016,11.1,98,100,100,52.9,14.6,22.6,11.9,3.231300115585327,15.885350227355955,0.86,76.3,28.2,8,4.87,0.809
Iceland_2016,44.4,98.8,100,100,75.4,34.4,0.485,12.4,3.88919997215271,6.607654094696045,0.87,83.8,54.7,9.4,10.5,0.246
Lithuania_2016,22.3,92.8,97.1,100,55.8,35.5,35,13,4.433800220489502,11.821615219116213,0.99,74.9,31.9,6,4.54,3.05
Mongolia_2016,15.8,63.2,81.7,89.8,55,13.4,9.1,10.1,2.8592000007629395,38.22281646728515,0.96,67.8,11,8,8.29,3.98
Netherlands_2016,35.6,97.7,100,100,59.9,27.2,10.9,12.1,3.546999931335449,12.025242805480955,0.94,81.7,53.8,8.8,9.81,0.567
Romania_2016,11.9,83.8,100,99.1,50.5,16.5,30.1,11,2.256500005722046,14.537062644958496,0.86,75.3,25.1,5.6,3.83,1.19
Thailand_2016,11.9,97.5,99.4,99.8,67.6,14.6,39.2,7.6,0.4449999928474426,26.258054733276367,0.79,78,16.8,7.3,4.07,2.58
